Site,SiteName,Point,Species,base,top,he,ht,width
1,tuart,5,Agonis flexuosa,1,10.6,,,10
1,tuart,10,Eryngium pinnatifidum,0,0.4,,,0.4
1,tuart,15,Xanthorrhoea preissii,0.2,1.7,,,1.6
1,tuart,15,Eucalyptus gomphocephala,6,13.3,,,8
1,tuart,20,Xanthorrhoea preissii,0,0.4,,,0.3
1,tuart,20,Eucalyptus gomphocephala,3.9,19.3,,,11
1,tuart,25,Xanthorrhoea gracilis,0,0.3,,,0.3
1,tuart,25,Xanthorrhoea preissii,0.5,2.2,,,2.3
1,tuart,25,Eucalyptus gomphocephala,3.4,16.7,,,10
1,tuart,30,Eucalyptus gomphocephala,4,20,,,12
1,tuart,35,Xanthorrhoea preissii,0.1,1.6,,,1.6
1,tuart,45,Xanthorrhoea preissii,0,1.2,,,1.5
1,tuart,50,Xanthorrhoea preissii,0,1.6,,,2
1,tuart,50,Eucalyptus gomphocephala,0.6,2.2,,,1.4
1,tuart,50,Eucalyptus gomphocephala,6.2,9.1,,,4
2,tuart,5,Banksia grandis,2.8,6,,,2
2,tuart,10,Macrozamia fraseri,0.2,1.1,,,1.5
2,tuart,10,Corymbia calophylla,3.1,6.8,,,7.7
2,tuart,15,Macrozamia fraseri,0.2,1.1,,,1.1
2,tuart,15,Banksia grandis,3.2,6.5,,,4.5
2,tuart,20,Xanthorrhoea preissii,0,1.6,,,1.7
2,tuart,20,Eucalyptus gomphocephala,2.3,3.6,,,1.5
2,tuart,25,Macrozamia fraseri,0.2,0.8,,,1.1
2,tuart,25,Eucalyptus marginata,1.2,11.9,,,11
2,tuart,30,Macrozamia fraseri,0.3,0.7,,,2.3
2,tuart,30,Eucalyptus marginata,1.2,11.9,,,
2,tuart,35,Macrozamia fraseri,0.3,0.7,,,2.2
2,tuart,35,Eucalyptus gomphocephala,7.4,17.9,,,10
2,tuart,40,Corymbia calophylla,4.6,7.5,,,3
2,tuart,40,Eucalyptus marginata,4.7,15,,,8
2,tuart,45,Macrozamia fraseri,0.3,0.8,,,1.2
2,tuart,45,Corymbia calophylla,4,6.2,,,4
2,tuart,50,Corymbia calophylla,4.5,11.1,,,6
